a1,b1,a2,b2,a3,b3,c1,d1,c2,d2,c3,d3
1.4419,0.11874,3.5529,1.0174,3.9126,63.181,0.21617,0.095581,3.9419,35.06,0.046042,0.022085
1.4586,0.10776,4.1895,88.909,3.6587,1.0509,0.20848,0.090934,3.1653,31.33,0.052389,0.020881
1.1901,0.077347,2.5538,0.65969,4.6811,12.801,0.22612,0.10863,0.35825,0.45677,0.0078226,0.016262
4.6854,14.45,2.9841,0.55644,0.89199,0.066951,0.22483,0.10324,0.30444,0.42726,0.0094816,0.017773
4.6334,16.338,3.1816,0.56952,0.87646,0.068886,0.22169,0.098425,0.27292,0.40947,0.011174,0.018622
4.5677,19.099,3.4033,0.5901,0.86184,0.07032,0.21973,0.093633,0.23818,0.39355,0.013831,0.019444
5.4567,10.189,0.11169,0.039813,3.3026,0.31462,0.18457,0.10422,0.49364,0.46308,3.5748,21.937
5.3832,10.729,0.12334,0.041514,3.4647,0.33933,0.17544,0.099893,3.398,21.16,0.46946,0.452
5.384,11.121,3.4986,0.35675,0.18804,0.053985,0.16914,0.096008,3.196,18.069,0.46439,0.43632
3.6609,0.38442,0.20305,0.054855,5.307,11.715,0.16093,0.092102,3.0481,17.353,0.44361,0.42713
3.9415,0.41825,5.1692,12.52,0.16194,0.048154,0.4153,0.42491,2.9176,19.09,0.15147,0.088157
4.0978,0.44602,5.1008,13.177,0.17462,0.050274,2.7677,18.482,0.1445,0.084623,0.40277,0.41764
4.2493,0.47526,5.0356,13.857,0.18892,0.052698,0.39436,0.41119,2.6121,17.854,0.138,0.081277
0.20094,0.054837,4.4012,0.50425,4.9725,14.572,2.4753,17.298,0.38688,0.40504,0.13194,0.078082
0.21605,0.058358,4.9111,15.326,4.5486,0.53443,2.3611,16.816,0.12628,0.07503,0.38136,0.39931
4.8674,16.032,0.31997,0.067087,4.5887,0.57704,0.12148,0.072228,2.3164,14.128,0.37926,0.38997
